date,open,high,low,close,volume
2026-01-06,2202.1,2228.0,2135.0,2146.4,5308207.0
2026-01-07,2146.4,2150.5,2109.2,2144.0,2112263.0
2026-01-08,2140.1,2143.0,2118.6,2133.0,2296942.0
2026-01-09,2133.0,2133.0,2116.0,2126.8,2063923.0
2026-01-12,2126.8,2139.4,2106.0,2133.3,2544087.0
2026-01-13,2126.9,2144.4,2120.0,2132.6,2543530.0
2026-01-14,426.0,427.6,418.8,421.0,10818517.0
2026-01-16,424.0,427.6,417.1,418.2,17993251.0
2026-01-19,419.0,430.4,415.0,426.9,22228439.0
2026-01-20,428.0,431.0,422.5,423.8,18805991.0
2026-01-21,422.1,425.5,416.4,421.6,16386060.0
2026-01-22,423.8,429.8,420.3,426.0,10087657.0
2026-01-23,429.0,429.8,420.4,422.8,10548118.0
2026-01-27,415.0,415.0,400.5,408.7,47613963.0
2026-01-28,409.3,414.2,406.3,412.4,14823671.0
2026-01-29,407.0,414.6,407.0,412.4,26085514.0
2026-01-30,410.0,412.5,405.4,408.0,20681886.0
2026-02-02,408.7,410.85,405.1,408.2,15422034.0
2026-02-03,415.0,425.0,410.3,415.8,35396945.0
2026-02-04,416.7,418.65,410.6,412.35,14948177.0
2026-02-05,411.0,413.95,404.1,408.75,24814864.0
2026-02-06,411.0,424.65,410.3,422.35,21228778.0
2026-02-09,430.0,434.9,424.2,428.8,22538542.0
2026-02-10,430.8,433.9,428.2,429.3,18428055.0
2026-02-11,431.7,431.7,427.75,429.55,12299205.0
2026-02-12,429.4,431.05,425.1,426.25,14003384.0
2026-02-13,426.0,428.9,419.55,420.65,23233320.0
2026-02-16,419.0,426.7,418.25,425.6,12403028.0
2026-02-17,423.65,425.5,420.6,424.45,6427007.0
2026-02-18,425.7,427.4,421.35,426.35,7333331.0
2026-02-19,425.7,425.95,415.85,416.4,6473423.0
2026-02-20,415.0,423.4,415.0,421.35,6603883.0
2026-02-23,423.0,431.8,420.35,430.7,10399627.0
2026-02-24,430.9,432.45,425.8,427.7,15016915.0
2026-02-25,425.5,430.15,421.4,424.95,10192468.0
2026-02-26,426.7,426.7,421.7,424.55,13417228.0
2026-02-27,420.5,422.35,414.45,415.2,17806739.0
2026-03-02,410.0,414.6,407.1,413.1,15236666.0
2026-03-04,405.0,410.5,402.2,403.35,18393751.0
2026-03-05,403.6,410.05,402.35,407.3,14963265.0
2026-03-06,403.7,406.7,399.0,399.8,17512726.0
2026-03-09,390.0,393.85,385.1,386.35,20275976.0
2026-03-10,390.5,394.25,387.5,391.85,21346381.0
2026-03-11,388.85,391.1,379.95,383.2,29991868.0
2026-03-12,377.0,380.15,374.05,375.3,25048123.0
2026-03-13,373.0,373.6,363.4,366.85,32179473.0
2026-03-16,366.85,373.35,364.05,369.85,27927294.0
2026-03-17,369.85,375.15,368.6,374.2,15176772.0
2026-03-18,375.0,376.95,371.1,375.4,15235416.0
2026-03-19,366.15,370.15,363.35,368.15,17308390.0
2026-03-20,368.6,372.6,365.4,366.75,17077194.0
2026-03-23,364.85,364.9,355.25,356.55,16980244.0
2026-03-24,363.0,370.95,361.4,366.85,19990983.0
2026-03-25,368.95,378.0,363.0,371.1,42442702.0
2026-03-27,367.55,368.85,362.5,366.15,28928069.0
2026-03-30,361.0,362.95,351.65,353.4,39762775.0
2026-04-01,363.8,364.05,355.0,356.05,21245776.0
2026-04-02,350.3,359.85,345.5,358.0,22056018.0
2026-04-06,358.0,361.4,350.1,360.55,18320378.0
2026-04-07,357.0,364.0,357.0,362.95,23655155.0
2026-04-08,377.0,381.15,369.45,380.15,30162218.0
2026-04-09,377.0,378.7,369.45,371.9,12422256.0
2026-04-10,373.5,379.15,372.35,374.55,23751660.0
2026-04-13,367.95,373.0,365.6,371.9,30027087.0
2026-04-15,375.5,383.0,375.5,382.4,19100372.0
2026-04-16,383.15,386.45,378.25,379.15,12060624.0
2026-04-17,379.3,385.2,376.65,383.6,11626179.0
2026-04-20,384.1,386.0,378.0,379.2,11146713.0
2026-04-21,381.45,383.15,378.35,382.15,12323488.0
2026-04-22,378.1,382.8,376.25,376.85,14471487.0
2026-04-23,370.05,375.95,367.65,370.4,27628052.0
2026-04-24,370.6,372.8,367.65,370.85,19678907.0
2026-04-27,375.0,380.45,373.25,376.8,11559552.0
2026-04-28,372.0,383.25,372.0,377.95,12852733.0
2026-04-29,378.0,386.05,377.55,382.0,7913344.0
2026-04-30,376.6,386.85,375.3,383.3,24812228.0
2026-05-04,378.9,382.05,363.0,371.65,74467483.0
2026-05-05,371.0,375.5,368.75,371.35,19084772.0
2026-05-06,374.0,380.0,365.65,376.6,36195481.0
2026-05-07,376.1,382.45,374.3,379.4,27286751.0
2026-05-08,379.0,381.5,374.0,380.8,16183126.0
2026-05-11,376.1,386.0,374.4,381.05,21347878.0
2026-05-12,380.2,381.05,374.55,376.0,13065308.0
2026-05-13,377.9,384.0,376.85,377.65,16267456.0
2026-05-14,378.0,385.0,375.6,383.2,10652514.0
2026-05-15,383.2,393.3,380.5,387.05,19461437.0
2026-05-18,382.0,393.0,380.3,391.8,14575831.0
2026-05-19,388.5,391.8,380.25,381.95,22567886.0
2026-05-20,376.3,384.05,376.3,383.2,12342444.0
2026-05-21,384.7,386.45,377.9,380.85,10133840.0
2026-05-22,381.0,386.3,381.0,384.15,10348359.0
2026-05-25,388.3,395.15,387.25,392.85,15571552.0
2026-05-26,392.85,394.95,387.0,388.65,15059212.0
2026-05-27,388.55,390.5,386.7,388.7,9326451.0
2026-05-29,388.85,392.55,381.25,384.2,40109830.0
2026-06-01,384.15,387.0,375.65,377.4,12335552.0
2026-06-02,373.0,381.55,372.2,379.05,14834956.0
2026-06-03,377.6,383.45,375.1,381.0,14844206.0
2026-06-04,378.5,384.0,377.9,381.5,13889236.0
2026-06-05,381.5,383.7,374.65,377.45,10129597.0
2026-06-08,373.0,378.9,372.7,377.1,14460894.0
2026-06-09,379.7,382.45,377.3,381.7,13987913.0
2026-06-10,380.5,391.2,380.5,388.1,21427363.0
2026-06-11,386.0,399.9,384.55,393.35,16135289.0
2026-06-12,397.75,404.5,394.95,403.3,17227481.0
2026-06-15,408.0,411.0,402.45,405.75,14269679.0
2026-06-16,405.75,408.55,404.5,407.85,9079548.0
2026-06-17,407.85,408.75,402.55,404.5,11654415.0
2026-06-18,403.95,404.25,399.65,402.95,9342524.0
2026-06-19,402.5,403.55,398.0,399.25,17504009.0
2026-06-22,399.25,403.1,398.75,402.15,7158956.0
2026-06-23,398.0,405.0,398.0,401.65,10077909.0
2026-06-24,401.65,407.95,400.2,405.95,11768059.0
2026-06-25,409.5,413.8,407.2,409.0,16587414.0
2026-06-29,402.5,404.85,394.1,395.5,37210245.0
2026-06-30,395.5,397.0,389.9,392.25,24824891.0
2026-07-01,397.35,401.4,393.25,400.45,21723944.0
2026-07-02,400.45,405.0,397.3,399.3,12980945.0
2026-07-03,400.0,401.45,394.55,396.75,14747410.0
2026-07-06,389.75,389.75,380.7,381.3,34164881.0
2026-07-07,381.5,382.9,378.65,381.7,23216875.0
2026-07-08,378.5,381.75,369.1,370.1,22517529.0
2026-07-09,371.5,377.95,368.4,377.15,30720415.0
2026-07-10,377.45,381.15,376.9,377.6,15468937.0
2026-07-13,375.8,385.15,375.1,384.65,14167721.0
2026-07-14,383.5,383.5,376.1,378.65,16237528.0
2026-07-15,379.35,382.8,376.25,378.4,8082156.0
2026-07-16,377.5,381.25,376.55,377.15,10889356.0
2026-07-17,377.5,391.8,375.7,389.95,17847316.0
2026-07-20,382.0,383.75,376.1,382.05,32539419.0
2026-07-21,383.0,386.95,381.05,385.95,17152911.0
2026-07-22,384.3,390.0,378.15,381.15,11688952.0
2026-07-23,379.7,386.1,378.85,383.35,12720546.0
2026-07-24,378.6,386.5,378.6,384.75,13308317.0
2026-07-27,386.0,388.75,383.55,384.65,16710096.0
2026-07-28,383.05,387.3,383.05,385.3,14247981.0
2026-07-29,387.0,392.25,385.15,390.2,9190194.0
2026-07-30,385.7,390.2,385.7,389.4,12205963.0
2026-07-31,390.2,391.85,388.0,390.3,7014637.0
2026-08-03,392.0,397.5,391.05,397.5,11247062.0
2026-08-04,395.5,398.25,392.1,398.0,9131231.0
2026-08-05,397.0,400.0,393.85,400.0,11842327.0
2026-08-06,397.25,398.8,393.75,394.0,10378024.0
2026-08-07,393.0,394.85,387.75,390.75,7315232.0
2026-08-10,388.0,393.5,386.5,393.5,11662079.0
2026-08-11,392.1,392.9,388.3,392.9,7853813.0
2026-08-12,391.0,394.25,387.5,390.5,10733474.0
2026-08-13,390.4,392.4,388.55,392.4,5726518.0
2026-08-14,393.1,394.35,389.85,391.15,9519332.0
2026-08-17,389.0,396.35,389.0,392.7,5105327.0
2026-08-18,391.0,392.9,387.65,387.65,5653147.0
2026-08-19,387.0,393.1,386.75,390.25,6704930.0
2026-08-20,393.6,399.55,393.15,397.35,9258923.0
2026-08-21,398.9,406.0,398.3,402.8,15670257.0
2026-08-24,403.5,405.6,398.2,401.45,14932117.0
2026-08-25,398.3,402.05,398.15,401.6,10154716.0
2026-08-26,402.5,417.45,401.0,416.7,20168995.0
2026-08-27,415.75,427.7,415.0,424.2,32914085.0
2026-08-28,424.6,426.2,421.0,423.7,18952918.0
2026-08-31,421.0,425.05,419.4,419.4,18992797.0
2026-09-01,420.8,429.1,420.75,425.0,7669677.0
2026-09-02,421.9,425.75,418.95,423.5,10022695.0
2026-09-03,425.0,426.9,421.15,421.15,5991118.0
2026-09-04,421.65,425.95,421.65,424.5,9408316.0
2026-09-07,421.8,425.7,421.0,422.1,7148641.0
